innovations_name ,innovations_description ,category ,linkdin_post,online_course
Building inspection and valuation,"Non-destructive testing methods for
materials and performance of products
together with status assessment
methods",CP-IM related innovations,https://www.linkedin.com/posts/reincarnate-eu_reincarnateinnovations-innovation-constructionindustry-activity-7385940370918027265-00Lr?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378,
Interfaces to existing databases and planning tools,"Interoperability technologies to instil
data from various external sources, such
as LCA database, national waste
registries, or e-Marketplaces",CP-IM related innovations,https://www.linkedin.com/posts/reincarnate-eu_reincarnateinnovations-constructionindustry-activity-7391028873305501697-tvfX?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378,
BIM supported modular dismantling planning methods,"Using functional, spatial and interface
information of construction products,
detailed dismantling work plans, and
more general construction schedules
can be automatically generated.
Different possible alternatives for work
plans can be generated for detailed
analysis.",Innovations for restarting cycle,https://www.linkedin.com/posts/reincarnate-eu_reincarnateacademy-bim-circularconstruction-activity-7426927141109252098-B9gj?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378,https://www.linkedin.com/posts/reincarnateacademy-bim-circularconstruction-ugcPost-7426927092468166656-5-iM?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378
Strategic circular decision making for real estate assets ,"Methods to understand adaptive reuse
potential of buildings and/or reuse
potential of construction products /
materials within large building
portfolios.",Innovations to extend cycles,https://www.linkedin.com/posts/reincarnate-eu_reincarnateacademy-circularthinking-circularambitions-activity-7424368662746234880-urGr?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378,https://www.linkedin.com/posts/reincarnateacademy-circularthinking-circularambitions-ugcPost-7424332387326570496-ivd3?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378
On-site waste assessment and seperation ,"Automated robots adopting
hyperspectral imaging and deep
learning technologies for material
recognition upon the prior knowledge
from CP-IM",CP-IM related innovations,https://www.linkedin.com/posts/reincarnate-eu_reincarnateinnovations-innovation-constructionindustry-activity-7388495944507535360-5ECz?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378,
Upgrade solutions for construction products ,"Solutions and approaches for
deinstallation, performance, and
upgrading of construction products,
such as windows, fa�ade elements and
HVAC components. ",Innovations to extend cycles,https://www.linkedin.com/posts/reincarnateinnovation-constructionindustry-share-7297171844145569792-tH0Z?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378,https://www.linkedin.com/posts/reincarnateacademy-training-builtenvironment-share-7348580651991728128-kDHm?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378
Architectural design methods,"Parametric modelling techniques and
functional classification of systems and
components the design allows for reuse
of building components and recyclables
that can be semi-automatically be
assigned in the design models",Innovations for restarting cycle,https://www.linkedin.com/posts/reincarnate-eu_reincarnateacademy-buildingsector-reuse-activity-7429442005631385600-  LD_o?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378  ,https://www.linkedin.com/posts/reincarnateacademy-buildingsector-reuse-ugcPost-7429424681683914752-2Tio?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378
Lean construction resource planning,"A BIM supported process model will be
developed and applied that will ensure
effective and efficient resource
management that will minimize waste of
resources. The process model promotes
integrated planning including resources
and allows for aggregation between
projects. ",Innovations to extend cycles,https://www.linkedin.com/posts/reincarnateinnovation-constructionindustry-share-7292083098513477633-sESI?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378,https://www.linkedin.com/posts/reincarnateacademy-bim-digitaltools-ugcPost-7421204384765644800-S_KS?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378
Valuation of recycled materials,"Methods to indicate the functional
quality of recycled materials with a high
confidence based on data-driven
modelling approaches (machine
learning). ",Innovations for restarting cycle,https://www.linkedin.com/posts/reincarnateinnovation-constructionindustry-share-7294641494768934912-jYna?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378,https://www.linkedin.com/posts/reincarnateacademy-buildingsector-digitaltools-share-7346038168493744129-IV55?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEviB7YBkQWjR7jnjm66zm7n2GhBU27r378
Building Assessment Robots ,Wall climbing and drone-based robotic solutions to automatically assess the circular potential embodied in a building. The solutions will be based on the robotic wall-climbing robotic platform (TRL-2) and commercial drone and sensor solutions.,Potential Transition from KER table,,
Disassembly Robot End-Effector Design,"The Disassembly Robot End-Effector is an innovation (Level 4) designed to dismantle construction products, such as windows, to maximize material recovery while reducing operational costs, energy consumption, and human error. Currently at a TRL of 6-7, the technology builds upon existing vacuum and gripper designs and has been validated on 3D-printed windows. Future development plans include validation with aluminum-framed windows and a collaboration with Ragn-Sells to adapt the system for wooden-framed windows. ",New TUB Innovations,,
