phases,value_chains,phase_path ,phases_description ,phase_id 
Extraction of raw materials,Glass Value Chain ,fixed ,,Glass1
Production,Glass Value Chain ,fixed ,Floatline ,Glass2
Window Manufacture,Glass Value Chain ,fixed ,,Glass3
Installation,Glass Value Chain ,fixed ,,Glass4
Inventory development,Glass Value Chain ,fixed ,calculating amount of glass cullet through BIM model (efficiently) ,Glass5
Sorting windows and dismantling plans (Digitally) ,Glass Value Chain ,fixed ,,Glass6
Window waste status determination,Glass Value Chain ,fixed ,,Glass7
"Dismantling, collecting and puting windows on load carrier",Glass Value Chain ,fixed ,,Glass8
Storage of window before transport,Glass Value Chain ,fixed ,,Glass9
Sorting and quality assurance ,Glass Value Chain ,fixed ,,Glass10
Scaling the entire window before pretreatment ,Glass Value Chain ,Recycle,,Glass11
Pretreatment ,Glass Value Chain ,Recycle,,Glass12
Scaling glass cullet amount after pretreatment ,Glass Value Chain ,Recycle,The glass cullet amount is weighted ,Glass13
Cullet sorting ,Glass Value Chain ,Recycle,Optical sorting of cullet crushed to a preferable size ,Glass14
Quality assurance ,Glass Value Chain ,Recycle,cullet at right size and quality is ready for sale so they go to quality assurance ,Glass15
Scaling of cullet after the quality assurance ,Glass Value Chain ,Recycle,"New product's weight, and sending info about the amount of the raw material, which is the amount of the recycled material with co2 data",Glass16
Storage of cullet before transport ,Glass Value Chain ,Recycle,Recycled cullet in feedstock for manufacturing of Flat Glass is stored ,Glass17
Expert-based sorting and validating what to do ,Glass Value Chain ,"Repair , Refurbishment , Remanufacture , Reuse ",,Glass18
IGU Disassembly ,Glass Value Chain ,"Refurbishment,Remanufacture ",,Glass19
Inspection cleaning ,Glass Value Chain ,"Refurbishment,Remanufacture ",,Glass20
Window upgrade to triple glazing,Glass Value Chain ,Remanufacture ,,Glass21
Window upgrade to double glazing,Glass Value Chain ,Remanufacture ,Reupgrading to double/triple glazing ,Glass22
Testing the window before marketing ,Glass Value Chain ,"Repair , Refurbishment , Remanufacture , Reuse ",,Glass23
Window refurbishment & conditioning,Glass Value Chain ,Refurbishment,,Glass24
Downcycled glass production,Glass Value Chain ,Downcycle ,"Glass beads,ceramic flusing agents,water filtration media",Glass25
Glass container production ,Glass Value Chain ,Downcycle ,,Glass26
Primary sorting of glass container waste,Glass Value Chain ,Downcycle ,,Glass27
Collection of primarily sorted glass,Glass Value Chain ,Downcycle ,,Glass28
Re-sorting collected glass waste for production classification,Glass Value Chain ,Downcycle ,,Glass29
Downcycled material production from used glass containers,Glass Value Chain ,Downcycle ,"Glass ceramics,filters , glass woll,container glass ",Glass30
Cullet extraction and powder processing,Glass Value Chain ,Downcycle ,,Glass31
Cemenet production ,Concrete Value Chain ,Fixed ,,Concrete 1
Concrete binders ratio experiments,Concrete Value Chain ,Fixed ,Combines glass powder + cement + fly ash + water + IDx samples,Concrete 2
Mixing concrete ,Concrete Value Chain ,Fixed ,"Combines cement, aggregate ,fly ash,water and sand ",Concrete 3
Concrete quality contorl ,Concrete Value Chain ,Fixed ,,Concrete 4
CP-IM inventory development ,Concrete Value Chain ,Fixed ,,Concrete 5
Digital delivery ticket ,Concrete Value Chain ,Fixed ,,Concrete 6
Concrete strength testing external lab ,Concrete Value Chain ,Fixed ,,Concrete 7
Transportation of the concrete to the site ,Concrete Value Chain ,Fixed ,,Concrete 8
Pouring the concrete in the site ,Concrete Value Chain ,Fixed ,,Concrete 9
Expert and test-based evaluation of the used  concrete ,Concrete Value Chain ,Fixed ,,Concrete 10
Collection of the concrete after demolition ,Concrete Value Chain ,Fixed ,,Concrete 11
on-site concrete crushing ,Concrete Value Chain ,"Recycle,Downcycle",,Concrete 12
Recycled aggregates ratio experiment ,Concrete Value Chain ,Recycle ,,Concrete 13
Production of concrete rubble ,Concrete Value Chain ,Downcycle ,This is used for road sub-base filling ,Concrete 14
Timber extraction,Timber Value Chain ,fixed ,,Timber 1
Laminated timber production ,Timber Value Chain ,fixed ,Glued laminated timber and cross laminated timber ,Timber 2
Wood-based panel production ,Timber Value Chain ,fixed ,,Timber 3
Installation,Timber Value Chain ,fixed ,,Timber 4
Collection of used Timber after demolition ,Timber Value Chain ,fixed ,,Timber 5
Waste Wood Incineration,Timber Value Chain ,Recover ,Energy Recovery – Heat & Electricity,Timber 6
Furniture production ,Timber Value Chain ,Downcycle ,"Coffee tables,benches,shelves,bed frames,picture frames,doors,planters,chopping boards ",Timber 7
