name,title,status
ISO 20887,Design for disassembly and adaptability,Published
EN ISO 23387:2026, BIM data templates for objects used in the life cycle of assets,Published (2026)
ISO 59040:2025,Product Circularity Data Sheet (PCDS),Published (2025)
EN ISO 7817-1:2024,Building Information Modelling: Level of Information Need — Part 1: Concepts and principles (ISO 7817-1:2024) [CEN/TC 442 — replaces EN 17412:2020 which has been withdrawn],Published (2024) — replaces withdrawn EN 17412:2020
EN 17632-2:2024,Building Information Modelling (BIM) — Semantic Modelling and Linking (SML) — Part 2: Domain-specific modelling patterns,Published (2024)
EN 17680:2023,Sustainability of construction works: Evaluation of the potential for sustainable refurbishment of buildings [CEN/TC 350],Published (2023)
ISO 59020:2024,Circular economy: Measuring and assessing circularity performance,Published (2024)
FprEN 15978-1,Sustainability of construction works: Methodology for the assessment of performance of buildings — Part 1: Environmental Performance [CEN/TC 350],Final Draft (FprEN) — to be published 2026
ISO 21931-1,Framework for sustainability assessment of buildings,Published
ISO 21931-2,Framework for sustainability assessment of civil engineering works,Published
prEN 18177," Circular economy in the construction sector: Framework, principles, and definitions [CEN/TC 350/SC 1]",Draft (prEN) — under development
WI 00350040,"CE in construction: Gap analysis, conclusions, recommendations [CEN/TC 350/SC 1] — DROPPED: work item no longer exists",Cancelled — work item dropped
ISO 59040:2025,Product Circularity Data Sheet (PCDS) [secondary use: provenance & traceability dimension],Published (2025)
ISO 29481-1:2025 / ISO 29481-2:2025,Information Delivery Manual (IDM) [Parts 1 and 2],Published (2025)
ISO 59014:2024,"Environmental management and circular economy: Sustainability and traceability of the recovery of secondary materials — Principles, requirements and guidance [ISO/TC 207/SC 5 + ISO/TC 323]",Published (2024)
EN ISO 16739-1:2024,"Industry Foundation Classes (IFC) for data sharing in the construction and facility management industries — Part 1: Data schema [CEN/TC 442]; EN 17549-1:2024 / EN 17549-2:2024 (companion standards, published)",Published (2024) — IFC 4.3 edition
ISO 19650 series,EN ISO 19650-4 (published); EN ISO 19650-6 (published) [CEN/TC 442 / ISO/TC 59/SC 13],All parts published including Part 6; Parts 1 and 2 now in draft revision (open for comment)
CEN/TR 18093:2024,CDE Solutions framework per EN ISO 19650 [CEN/TC 442],Published Technical Report (2024)
EN ISO 22014:2024,"Library objects for architecture, engineering, construction and use [CEN/TC 442]",Published (2024)
ISO 16757-1/-2 / EN ISO 16757-4:2024 / EN ISO 16757-5:2024,Product data for building services,Published (all parts)
ISO 59010:2024,Circular economy: Guidance on the transition of business models and value networks [ISO/TC 323],Published (2024); Edition 2 revision under development (WD)
ISO 21930:2017,"EPD core rules for construction products [ISO/TC 59/SC 17] + EN 15804:2012+A2:2019 (CEN/TC 350 counterpart, published)",Published
ISO 22057,EPD data templates for BIM,Published
ISO 21928-2,Sustainability indicators for civil engineering works,Published
ISO/TR 59032:2023,Circular economy: Review of existing value network models,Published Technical Report (2023)
No relevant standard found,,
ÖNORM B 3151,"Rückbau von Bauwerken als Standardabbruchmethode (Deconstruction as standard demolition method) [Austrian Standards / ASI, published] + DIN 18007:2022 (Germany)",Published (national)
EN 206 + ÖNORM B 4710-1,Concrete specification with recycled aggregates [CEN/TC 104],Published
EN 12620,Aggregates for concrete [CEN/TC 154],Published
EN 197-6:2023 ,Cement with recycled building materials [CEN/TC 051],Published
