gap_id,standards_name,recommendation
1.1,ISO 20887,Develop extension / guideline
1.2,EN ISO 23387:2026,Develop extension / guideline
1.3,ISO 59040:2025,Develop extension / guideline
1.4,EN ISO 7817-1:2024,Develop extension / guideline
1.5,EN 17632-2:2024,Develop extension / guideline
1.6,EN 17680:2023,Contribute reuse-pathway criteria before finalisation
2.1,ISO 59020:2024,Develop extension / guideline
2.2,FprEN 15978-1,Update existing standard
2.3,ISO 21931-1,Monitor only — not a REINCARNATE contribution target
2.4,ISO 21931-2,Monitor only — not a REINCARNATE contribution target
2.5,prEN 18177,Contribute REINCARNATE framework evidence to prEN 18177 drafting process via ASI/CEN/TC 350/SC 1 — window open NOW
2.6,WI 00350040,Redirect REINCARNATE gap analysis evidence to prEN 18177 (row 2.5) drafting process — this is now the primary vehicle
3.1,ISO 59040:2025,New standard needed
3.2,No relevant standard found,New standard needed
3.3,ISO 29481-1:2025 / ISO 29481-2:2025,Develop extension / guideline
3.4,No relevant standard found,New standard needed
3.5,ISO 59014:2024,Engage as sector expert / contribute construction use case to ISO/TC 207/SC 5 via ASI
4.1,EN ISO 16739-1:2024,Update existing standard
4.2,ISO 19650 series,Develop extension / guideline
4.3,CEN/TR 18093:2024,Develop extension / guideline
4.4,EN ISO 22014:2024,Develop extension / guideline
4.5,No relevant standard found,New standard needed
4.6,ISO 16757-1/-2 / EN ISO 16757-4:2024 / EN ISO 16757-5:2024,Systematic Review needed
5.1,ISO 59010:2024,Develop extension / guideline
5.2,ISO 21930:2017,Update existing standard
5.3,ISO 22057,Update existing standard
5.4,ISO 21928-2,Monitor only — not a REINCARNATE contribution target
5.5,ISO/TR 59032:2023,Systematic Review needed
6.1,No relevant standard found,New standard needed
7.1,No relevant standard found,New standard needed
8.1,ÖNORM B 3151,"Use REINCARNATE deconstruction outputs (robotic CDW, demo protocols) to support NWIP in CEN/TC 183 or CEN/TC 350/SC 1"
8.2,EN 206 + ÖNORM B 4710-1,Monitor prEN 197-6 adoption; consider REINCARNATE CP-IM provenance data as input to EN 12620 revision
8.2,EN 12620,Monitor prEN 197-6 adoption; consider REINCARNATE CP-IM provenance data as input to EN 12620 revision
8.2,EN 197-6:2023 ,Monitor prEN 197-6 adoption; consider REINCARNATE CP-IM provenance data as input to EN 12620 revision
